iter	AUC:type=Mu	MultiClass	Accuracy	F1:class=0	F1:class=1	F1:class=2	F1:class=3	F1:class=4	F1:class=5
236	0.9283916766	1.036578241	0.6071789687	0	0.07594936709	0.6267539757	0.6852836879	0.3765690377	0
237	0.9286183826	1.035708004	0.6076845298	0	0.07594936709	0.6267539757	0.6852836879	0.3807531381	0
238	0.9286762178	1.034738353	0.6076845298	0	0.07594936709	0.6267539757	0.6852836879	0.3807531381	0
239	0.9289361463	1.033827089	0.6086956522	0	0.07594936709	0.6267539757	0.6864745011	0.3841336117	0
240	0.9291203738	1.032968739	0.6086956522	0	0.07594936709	0.6267539757	0.6864745011	0.3841336117	0
241	0.929321405	1.032127781	0.6097067745	0	0.07594936709	0.6261682243	0.6873889876	0.3908523909	0
242	0.9294989358	1.031179035	0.6086956522	0	0.07594936709	0.6254681648	0.6864745011	0.3875	0
243	0.9295066225	1.03040844	0.6097067745	0	0.07594936709	0.6261682243	0.6873889876	0.3908523909	0
244	0.9298288171	1.029491444	0.6092012133	0	0.07594936709	0.6261682243	0.6868058641	0.3900414938	0
245	0.9299820163	1.028696307	0.6102123357	0	0.07594936709	0.6274509804	0.6876943581	0.3908523909	0
246	0.9303707457	1.027799682	0.6107178969	0	0.07594936709	0.6274509804	0.688	0.3941908714	0
247	0.9305745525	1.027162474	0.6102123357	0	0.07594936709	0.6274509804	0.6876943581	0.3908523909	0
248	0.9307693466	1.026370347	0.6102123357	0	0.07594936709	0.6274509804	0.6876943581	0.3908523909	0
249	0.930919271	1.025702528	0.6102123357	0	0.07594936709	0.6274509804	0.6873889876	0.3916666667	0
250	0.9310820058	1.024990192	0.6102123357	0	0.07594936709	0.6268656716	0.6876943581	0.3916666667	0
251	0.9312278956	1.024297419	0.6102123357	0	0.07594936709	0.6268656716	0.6871111111	0.395010395	0
252	0.9312595353	1.023611956	0.6102123357	0	0.07594936709	0.6268656716	0.6874166296	0.3941908714	0
253	0.9314155232	1.022870985	0.6092012133	0	0.07594936709	0.6268656716	0.6868058641	0.3875	0
254	0.9314380697	1.022221903	0.6092012133	0	0.07594936709	0.6268656716	0.6868058641	0.3875	0
255	0.9315061969	1.021558565	0.611223458	0	0.07594936709	0.6300093197	0.6883059137	0.3908523909	0
256	0.9316482853	1.020791345	0.6107178969	0	0.07594936709	0.6287313433	0.688	0.3908523909	0
257	0.9317510195	1.02003628	0.611223458	0	0.07594936709	0.6287313433	0.6883059137	0.3941908714	0
258	0.931853472	1.019373616	0.6117290192	0	0.07594936709	0.6305970149	0.6883059137	0.3941908714	0
259	0.931976899	1.018770986	0.611223458	0	0.07594936709	0.629318394	0.688	0.3941908714	0
260	0.9319497135	1.018068206	0.6122345804	0	0.07594936709	0.6318732526	0.6886120996	0.3941908714	0
261	0.9322074485	1.017370781	0.6117290192	0	0.07594936709	0.629318394	0.688277087	0.3958333333	0
262	0.9323379107	1.01662248	0.6122345804	0	0.07594936709	0.6300093197	0.6888888889	0.3958333333	0
263	0.9325696059	1.015801296	0.6122345804	0	0.07594936709	0.6305970149	0.6885828521	0.3958333333	0
264	0.9328560413	1.01507882	0.6127401416	0	0.07594936709	0.6305970149	0.6894713461	0.3958333333	0
265	0.9331962961	1.014068479	0.6122345804	0	0.07594936709	0.6300093197	0.6891951979	0.395010395	0
266	0.9334053386	1.013327335	0.6122345804	0	0.07594936709	0.6300093197	0.6886120996	0.398340249	0
267	0.9336851191	1.012468949	0.6127401416	0	0.07594936709	0.6294227188	0.6895017794	0.3991683992	0
268	0.9337453072	1.011732567	0.6127401416	0	0.07594936709	0.6306976744	0.6895017794	0.3958333333	0
269	0.9339330917	1.011097692	0.6122345804	0	0.07594936709	0.6294227188	0.6889185581	0.398340249	0
270	0.9340439258	1.010447554	0.6117290192	0	0.07594936709	0.6294227188	0.6886120996	0.395010395	0
271	0.9342772928	1.009713845	0.6117290192	0	0.07594936709	0.6294227188	0.6886120996	0.395010395	0
272	0.9343879311	1.009112959	0.611223458	0	0.07594936709	0.6294227188	0.6880284824	0.3941908714	0
273	0.9345226583	1.008300158	0.6117290192	0	0.07594936709	0.6294227188	0.6883348175	0.397515528	0
